symbol,security_id,signal_time,entry_next_1h_open,signal_close,signal_high,rsi,stoch_k,stoch_d,previous_swing_high,mfe_pct_next_bars,mae_pct_next_bars,forward_bars_checked
TATASTEEL,3499,2026-08-18 09:15:00+05:30,185.78,185.72,187.11,54.17743161290655,97.5099506347875,99.06110203175679,186.35,1.7655291204650667,0.0,6
UPL,11287,2026-08-18 09:15:00+05:30,567.35,567.35,570.05,51.97146445104491,97.29472492263595,99.02289367122097,568.45,1.6568255926676614,0.11456772715254732,6
RELIANCE,2885,2026-08-18 10:15:00+05:30,1323.3,1323.4,1324.0,61.261186492751214,99.32310072449117,99.50594721578652,1328.6,0.9672787727650536,0.1889216353056752,6
TORNTPHARM,3518,2026-08-18 11:15:00+05:30,4975.0,4975.0,4999.0,66.3660451343745,99.27856521490342,99.75952173830113,4987.0,0.592964824120603,0.6834170854271356,6
AXISBANK,5900,2026-08-18 12:15:00+05:30,1237.0,1237.2,1239.8,62.70194284251888,96.77270976994252,98.92423658998085,1240.0,1.0509296685529508,1.0913500404203718,6
M&M,2031,2026-08-18 12:15:00+05:30,3427.0,3427.0,3430.0,52.96073897405288,95.76939517825456,97.3670657582192,3430.6,1.6311642836299995,0.23344032681645752,6
PETRONET,11351,2026-08-18 12:15:00+05:30,285.75,285.75,286.95,68.52282982723439,90.7728253420227,96.92427511400756,286.6,0.3499562554680665,2.012248468941382,6
SONACOMS,4684,2026-08-19 09:15:00+05:30,825.7,825.5,829.7,71.38295423640622,97.13696226392948,99.0456540879765,827.35,0.7872108513988131,1.5017560857454253,6
FEDERALBNK,1023,2026-08-19 10:15:00+05:30,358.05,357.85,359.75,60.39309780232913,90.47349140796052,96.16568793775737,359.5,0.3072196620583781,1.717637201508163,6
HDFCAMC,4244,2026-08-19 14:15:00+05:30,2558.7,2540.5,2552.6,59.74498250264321,79.28194847375788,82.72291152702253,2551.7,0.22276937507327232,1.8876773361472694,6
IDFCFIRSTB,11184,2026-08-20 11:15:00+05:30,86.39,86.4,86.49,65.2630893865319,97.5006679470538,98.4359917656878,86.5,0.9260331056835248,0.06945248292626725,6
INDHOTEL,1512,2026-08-20 11:15:00+05:30,735.6,735.6,736.4,73.05077987520306,98.33186593580847,99.44395531193616,737.0,1.1827079934747207,0.20391517128874387,6
NYKAA,6545,2026-08-20 12:15:00+05:30,330.85,330.65,332.45,61.475986171931574,96.58288820109648,98.86096273369883,331.5,0.8614175608281767,0.816079794468789,6
UPL,11287,2026-08-20 12:15:00+05:30,572.2,572.2,575.2,61.95686885584133,94.83561406232076,97.93387332786978,574.85,0.8912967493883296,0.3932191541419084,6
CANBK,10794,2026-08-20 13:15:00+05:30,129.94,129.94,130.24,51.96797560798676,88.2937794479888,89.43310074491338,130.49,0.9311990149299738,0.007695859627513396,6
CDSL,21174,2026-08-20 13:15:00+05:30,1353.1,1353.1,1358.0,57.336583520933836,87.63735788830017,89.44097919628636,1358.0,0.5542827581110044,3.5991427093341253,6
DALBHARAT,8075,2026-08-20 13:15:00+05:30,1916.0,1916.0,1923.4,77.97477665417432,94.82197756326589,98.27399252108864,1925.0,1.8632567849686872,0.20876826722338201,6
